('37.87972962890852', '-122.26391329454778')
('37.85221079196409', '-122.28041905150123')
('37.86931577415613', '-122.28966733810314')
('37.8633413037605', '-122.27592162828864')
('37.85619889712682', '-122.28573307290714')
('37.887823942057025', '-122.28311763805367')
('37.87081768661523', '-122.27836494573151')
('37.8333746422869', '-122.27888118077078')
('37.87797984467209', '-122.26370282597543')
('37.87363554356038', '-122.27256194741315')
('37.867798286794915', '-122.24647033446333')
('37.857404171359725', '-122.27689609372257')
('37.884606007775226', '-122.2535268412684')
('37.87410411397323', '-122.28825181487625')
('37.844064866958554', '-122.23818575751454')
('37.856129012130125', '-122.25741465703175')
('37.868969410902686', '-122.24228835182485')
('37.86584519454283', '-122.2847513192819')
('37.88396587453485', '-122.27148146534691')
('37.84106964729792', '-122.24989667871233')
('37.87226545454763', '-122.27235025051891')
('37.87261205956692', '-122.26760695152772')
('37.872818189543416', '-122.27708342964638')
('37.84628594186662', '-122.27873553878555')
('37.88316332493698', '-122.2739532598075')
('37.8302247620948', '-122.26105587518542')
('37.834312138297506', '-122.27429701236277')
('37.85296394636403', '-122.2410984154579')
('37.89043225153354', '-122.25395879091423')
('37.87184151741727', '-122.27186165312749')
('37.85022669945371', '-122.24663616858888')
('37.838560084393215', '-122.26570620544274')
('37.88440535747032', '-122.2877942036547')
('37.88905796647905', '-122.2565057012481')
('37.864721737974065', '-122.28288216880648')
('37.87187226756271', '-122.29114458818256')
('37.85046200280536', '-122.25399884338411')
('37.8723193443484', '-122.27848343508327')
('37.87830171176897', '-122.2594414248141')
('37.8382179732696', '-122.2523119931563')
('37.85200957273961', '-122.26093517278848')
('37.86100347115036', '-122.25033487603925')
('37.87034731142527', '-122.2848732733109')
('37.86746866179015', '-122.27359697375351')
('37.85060626006384', '-122.23708072923122')
('37.84839168424396', '-122.28280692011609')
('37.841523750876696', '-122.27117624673637')
('37.86059952942335', '-122.2734524683991')
('37.85959566145458', '-122.27000724109837')
('37.85583472720347', '-122.26484775165997')
('37.860183319050044', '-122.26476984430809')
('37.875574485401636', '-122.2636879195176')
('37.86505443192465', '-122.27385225752712')
('37.87322286968581', '-122.27261347812225')
('37.88093540233565', '-122.27655715456592')
('37.86597107495589', '-122.2793437611329')
('37.8813648724188', '-122.27488113270091')
('37.87816864970657', '-122.28632983145772')
('37.834622846467816', '-122.26381706124234')
('37.85397116118737', '-122.25702214319213')
('37.85683874651661', '-122.28641611302477')
('37.8701498281086', '-122.26024799738526')
('37.87571813378863', '-122.26323609250493')
('37.873617142295224', '-122.27413374385044')
('37.85881468547663', '-122.26547842411225')
('37.84895257015961', '-122.26648515344496')
('37.837086094127095', '-122.21798411134219')
('37.849184011901265', '-122.24424453538069')
('37.86188061288565', '-122.26676318399788')
('37.874611044488425', '-122.2692543008879')
('37.85821505934785', '-122.26650962940462')
('37.8414456570665', '-122.284794178243')
('37.871876604186646', '-122.2908190084805')
('37.83298942759526', '-122.2715182594301')
('37.856438637728225', '-122.23360495661822')
('37.85704610934888', '-122.25003671041641')
('37.844942811158205', '-122.29491565139998')
('37.83353931181641', '-122.26820589755157')
('37.88763422063176', '-122.26399350340381')
('37.853491175828545', '-122.28071965424523')
('37.86577772843266', '-122.27460369048485')
('37.85667151008096', '-122.26381641903998')
('37.85146539912008', '-122.26503465163655')
('37.84237499162096', '-122.26552268742026')
('37.84762555001188', '-122.26047027938111')
('37.85930108176705', '-122.28130890346587')
('37.8585365954493', '-122.25023351214502')
('37.847168372990986', '-122.26796861272898')
('37.867529874386534', '-122.26984543180619')
('37.83271070729367', '-122.25438448638353')
('37.848365857721234', '-122.25066978749449')
('37.83944025090019', '-122.27317123380068')
('37.83944025090019', '-122.27317123380068')
('37.84215078460999', '-122.26765768282638')
('37.84149824636535', '-122.26559401234539')
('37.882806688140406', '-122.27978703471692')
('37.86236653491258', '-122.24402935011194')
('37.88518545297455', '-122.26887787093379')
('37.833347751673905', '-122.26906141828593')
('37.86338326150315', '-122.294091509368')
('37.85198524157496', '-122.26514627474504')
('37.84822206957184', '-122.24398513443495')
('37.87584418060088', '-122.271735642521')
('37.87504584871129', '-122.26824788862749')
('37.87947521968215', '-122.27270284875068')
('37.832579343981514', '-122.27658939155533')
('37.83464701638396', '-122.25374135506974')
('37.88562414716254', '-122.25071856163386')
('37.853189857627925', '-122.287898106115')
('37.83688078210343', '-122.23184339751087')
('37.843433198511086', '-122.26473377536702')
('37.83685801717465', '-122.25978315692971')
('37.84912293890212', '-122.26223184359849')
('37.86619089603519', '-122.27572122339718')
('37.857298046997435', '-122.27174335342409')
('37.840142420943366', '-122.26548221550523')
('37.874882110532', '-122.2790470293607')
('37.86564750217291', '-122.28757753873651')
('37.88376347405106', '-122.27560199125828')
('37.869220053562294', '-122.24551720500145')
('37.879242044486816', '-122.29205851522038')
('37.85833963345858', '-122.26225552251418')
('37.861871453533865', '-122.27988719471067')
('37.85888119568757', '-122.28590537990011')
